Unnamed: 0,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,flow_duration,fwd_pkts_tot,bwd_pkts_tot,fwd_data_pkts_tot,bwd_data_pkts_tot,fwd_pkts_per_sec,bwd_pkts_per_sec,flow_pkts_per_sec,down_up_ratio,fwd_header_size_tot,fwd_header_size_min,fwd_header_size_max,bwd_header_size_tot,bwd_header_size_min,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,bwd_PSH_flag_count,flow_ACK_flag_count,fwd_URG_flag_count,bwd_URG_flag_count,flow_CWR_flag_count,flow_ECE_flag_count,fwd_pkts_payload.min,fwd_pkts_payload.max,fwd_pkts_payload.tot,fwd_pkts_payload.avg,fwd_pkts_payload.std,bwd_pkts_payload.min,bwd_pkts_payload.max,bwd_pkts_payload.tot,bwd_pkts_payload.avg,bwd_pkts_payload.std,flow_pkts_payload.min,flow_pkts_payload.max,flow_pkts_payload.tot,flow_pkts_payload.avg,flow_pkts_payload.std,fwd_iat.min,fwd_iat.max,fwd_iat.tot,fwd_iat.avg,fwd_iat.std,bwd_iat.min,bwd_iat.max,bwd_iat.tot,bwd_iat.avg,bwd_iat.std,flow_iat.min,flow_iat.max,flow_iat.tot,flow_iat.avg,flow_iat.std,payload_bytes_per_second,fwd_subflow_pkts,bwd_subflow_pkts,fwd_subflow_bytes,bwd_subflow_bytes,fwd_bulk_bytes,bwd_bulk_bytes,fwd_bulk_packets,bwd_bulk_packets,fwd_bulk_rate,bwd_bulk_rate,active.min,active.max,active.tot,active.avg,active.std,idle.min,idle.max,idle.tot,idle.avg,idle.std,fwd_init_window_size,bwd_init_window_size,fwd_last_window_size,bwd_last_window_size,traffic,is_attack
971100,118.41.59.11,28286,101.228.152.115,44387,tcp,-,-,-,-,OTH,F,F,0,-,0,0,0,0,-,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,camoverflow,1
3239896,10.10.10.252,52884,10.10.10.249,80,tcp,-,0.042106,0,0,OTH,T,T,0,^cA,1,52,0,0,-,0.043482,1,1,0,0,22.997988,22.997988,45.995975,1.0,32,32,32,32,32,32,1,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43482.065201,43482.065201,43482.065201,43482.065201,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43482.065201,43482.065201,43482.065201,43482.065201,0.0,0.0,0.0,0.0,0.0,0.0,301,508,301,508,slowread,1
3077172,10.10.10.252,43856,10.10.10.249,80,tcp,-,0.007093,0,0,SH,T,T,0,^cF,1,52,0,0,-,0.011124,1,2,0,0,89.894638,179.789275,269.683913,2.0,32,32,32,64,32,32,2,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11176.109314,11176.109314,11176.109314,11176.109314,0.0,51.97525,11124.134064,11176.109314,5588.054657,7829.198579,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11176.109314,11176.109314,11176.109314,11176.109314,0.0,0.0,0.0,0.0,0.0,0.0,501,506,501,506,rudeadyet,1
1787127,10.10.10.252,45093,10.10.10.249,1883,tcp,mqtt,4.817249,4242,0,OTH,T,T,0,DcAc,48,6738,0,0,-,4.799347,50,25,25,25,10.418084,5.209042,15.627126,0.5,1600,32,32,800,32,32,0,0,0,25,25,75,0,0,0,0,0.0,189.0,4466.0,89.32,90.279032,4.0,4.0,100.0,4.0,0.0,0.0,189.0,4566.0,60.88,83.882956,1168.012619,218095.779419,4799346.923828,97945.855588,98408.265886,180475.950241,221196.174622,4795991.897583,199832.995733,12320.651951,171.18454,218095.779419,4799346.923828,64856.039511,92423.586637,951.379442,50.0,25.0,4466.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4799346.923828,4799346.923828,4799346.923828,4799346.923828,0.0,0.0,0.0,0.0,0.0,0.0,502,501,502,669,mqttmalaria,1
3238547,10.10.10.252,57230,10.10.10.249,80,tcp,-,0.000236,0,0,RSTR,T,T,0,Fr,1,52,1,40,-,0.000105,1,1,0,0,9532.509091,9532.509091,19065.018182,1.0,32,32,32,20,20,20,1,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.904175,104.904175,104.904175,104.904175,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.904175,104.904175,104.904175,104.904175,0.0,0.0,0.0,0.0,0.0,0.0,1152,0,1152,0,slowread,1
4232,10.10.10.252,37394,10.10.10.249,80,tcp,-,0.062809,13192,0,SH,T,T,0,ScACF,4,216,0,0,-,0.062639,6,6,2,1,95.786973,95.786973,191.573946,1.0,200,32,40,200,32,40,2,2,0,2,1,11,0,0,0,0,0.0,7240.0,13236.0,2206.0,3440.087208,0.0,152.0,152.0,25.333333,62.05374,0.0,7240.0,13388.0,1115.666667,2584.150549,8.106232,38459.062576,62638.998032,12527.799606,16582.808143,38.862228,39247.989655,62638.998032,12527.799606,17817.362008,8.106232,38459.062576,62711.000443,5701.00004,12349.553552,213732.665284,6.0,6.0,13236.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,62711.000443,62711.000443,62711.000443,62711.000443,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,501,501,apachekiller,1
92129,10.10.10.252,54470,224.0.0.251,5353,udp,dns,-,-,-,S0,T,F,0,D,1,73,0,0,-,0.0,1,0,1,0,0.0,0.0,0.0,0.0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,29.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,arpspoofing,1
31617,10.10.10.252,37998,10.10.10.249,80,tcp,-,0.063111,13236,0,SH,T,T,0,ScACF,4,216,0,0,-,0.063339,6,6,2,1,94.728374,94.728374,189.456748,1.0,200,32,40,200,32,40,2,2,0,2,1,11,0,0,0,0,0.0,7240.0,13111.0,2185.166667,3412.814699,0.0,152.0,152.0,25.333333,62.05374,0.0,7240.0,13263.0,1105.25,2562.853776,7.867813,38827.180862,63338.99498,12667.798996,16722.069785,41.96167,39897.203445,63355.207443,12671.041489,18051.520873,7.867813,38827.180862,63426.017761,5766.001615,12460.219299,209397.070544,6.0,6.0,13111.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,63426.017761,63426.017761,63426.017761,63426.017761,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,501,501,apachekiller,1
1781229,10.10.10.252,39443,10.10.10.249,1883,tcp,mqtt,4.825769,4496,0,OTH,T,T,0,DcAc,50,7096,0,0,-,2.86011,25,14,15,10,8.740922,4.894917,13.635839,0.56,800,32,32,448,32,32,0,0,0,15,10,39,0,0,0,0,0.0,187.0,2695.0,107.8,89.90875,0.0,4.0,40.0,2.857143,1.875229,0.0,187.0,2735.0,70.128205,87.792572,1061.201096,219125.986099,2860110.044479,119171.251853,100517.759818,154637.098312,400040.149689,2860004.18663,220000.322048,57711.047033,25.033951,219099.0448,2860141.038895,75266.869445,96554.775153,956.256912,25.0,14.0,2695.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2860141.038895,2860141.038895,2860141.038895,2860141.038895,0.0,0.0,0.0,0.0,0.0,0.0,502,5694,502,5811,mqttmalaria,1
3111700,10.10.10.252,47746,10.10.10.249,80,tcp,http,2.551098,514,0,S0,T,T,0,ScAD,5,782,0,0,-,0.02225,4,3,1,1,179.775789,134.831842,314.607632,0.75,136,32,40,104,32,40,0,2,0,1,1,6,0,0,0,0,0.0,335.0,335.0,83.75,167.5,0.0,309.0,309.0,103.0,178.401233,0.0,335.0,644.0,92.0,157.299078,1037.836075,19738.197327,22249.937057,7416.645686,10673.004022,439.882278,20737.171173,21177.053452,10588.526726,14352.350617,51.97525,19738.197327,22249.937057,3708.322843,7863.232848,28943.902103,4.0,3.0,335.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,22249.937057,22249.937057,22249.937057,22249.937057,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,500,507,rudeadyet,1
26753,10.10.10.252,59624,10.10.10.249,80,tcp,-,0.063103,13181,0,SH,T,T,0,ScACF,4,216,0,0,-,0.062717,7,7,3,1,111.612551,111.612551,223.225102,1.0,232,32,40,232,32,40,2,2,0,2,1,13,0,0,0,0,0.0,7240.0,13181.0,1883.0,2858.278095,0.0,152.0,152.0,21.714286,57.4506,0.0,7240.0,13333.0,952.357143,2169.077635,0.0,38777.828217,62716.960907,10452.826818,15205.923526,37.908554,39633.989334,62717.914581,10452.985764,16790.540993,0.0,38777.828217,62788.009644,4829.846896,11204.358865,212590.020422,7.0,7.0,13181.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,62788.009644,62788.009644,62788.009644,62788.009644,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,501,501,apachekiller,1
13098,10.10.10.252,38674,10.10.10.249,80,tcp,-,0.063114,13192,0,SH,T,T,0,ScACF,4,216,0,0,-,0.060661,6,6,2,1,98.910211,98.910211,197.820423,1.0,200,32,40,200,32,40,2,2,0,2,1,11,0,0,0,0,0.0,7240.0,13280.0,2213.333333,3449.815454,0.0,152.0,152.0,25.333333,62.05374,0.0,7240.0,13432.0,1119.333333,2591.72492,10.01358,36727.190018,60661.077499,12132.2155,15989.625859,41.96167,37683.010101,60717.105865,12143.421173,17244.56734,10.01358,36727.190018,60794.115067,5526.737733,11921.209351,221426.993283,6.0,6.0,13280.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,60794.115067,60794.115067,60794.115067,60794.115067,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,501,501,apachekiller,1
150087,171.193.135.14,1931,159.217.68.112,57928,tcp,-,-,-,-,OTH,F,F,0,-,0,0,0,0,-,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,camoverflow,1
3231310,10.10.10.252,39918,10.10.10.249,80,tcp,http,0.020751,173,0,S0,T,T,0,ScAD,3,337,0,0,-,0.000915,1,2,0,0,1092.835852,2185.671704,3278.507556,2.0,32,32,32,64,32,32,2,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965.118408,965.118408,965.118408,965.118408,0.0,50.067902,915.050507,965.118408,482.559204,611.635066,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965.118408,965.118408,965.118408,965.118408,0.0,0.0,0.0,0.0,0.0,0.0,502,508,502,508,slowloris,1
3166545,10.10.10.252,52698,10.10.10.249,80,tcp,-,-,-,-,OTH,T,T,0,Dc,1,93,0,0,-,0.002418,1,2,0,0,413.557878,827.115756,1240.673634,2.0,32,32,32,64,32,32,2,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2547.025681,2547.025681,2547.025681,2547.025681,0.0,128.984451,2418.041229,2547.025681,1273.51284,1618.60757,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2547.025681,2547.025681,2547.025681,2547.025681,0.0,0.0,0.0,0.0,0.0,0.0,501,507,501,507,rudeadyet,1
2049068,10.10.10.252,33234,10.10.10.249,26850,tcp,-,0.000083,0,0,REJ,T,T,0,Sr,1,44,1,40,-,9.4e-05,1,1,0,0,10645.441624,10645.441624,21290.883249,1.0,24,24,24,20,20,20,0,1,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.93692,93.93692,93.93692,93.93692,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.93692,93.93692,93.93692,93.93692,0.0,0.0,0.0,0.0,0.0,0.0,1024,0,1024,0,netscan,1
1050758,109.133.32.12,55999,66.162.148.15,36285,tcp,-,-,-,-,OTH,F,F,0,-,0,0,0,0,-,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,camoverflow,1
722349,44.91.185.52,15967,5.90.89.112,3057,tcp,-,-,-,-,OTH,F,F,0,-,0,0,0,0,-,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,camoverflow,1
3150403,10.10.10.252,35616,10.10.10.249,80,tcp,http,0.030370,395,0,S0,T,T,0,ScAD,4,611,0,0,-,0.022792,4,3,1,1,175.501234,131.625926,307.12716,0.75,136,32,40,104,32,40,0,2,0,1,1,6,0,0,0,0,0.0,483.0,483.0,120.75,241.5,0.0,711.0,711.0,237.0,410.496041,0.0,711.0,1194.0,170.571429,298.649101,969.88678,20290.136337,22791.862488,7597.287496,10995.919992,450.134277,21209.955215,21660.089493,10830.044746,14679.410162,39.815903,20290.136337,22791.862488,3798.643748,8089.297747,52387.118457,4.0,3.0,483.0,711.0,0.0,0.0,0.0,0.0,0.0,0.0,22791.862488,22791.862488,22791.862488,22791.862488,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,497,506,rudeadyet,1
2459952,10.10.10.248,32770,10.10.10.249,1883,tcp,mqtt,4.060288,30,0,OTH,T,T,0,Dc,5,290,0,0,-,4.062386,5,5,5,0,1.230804,1.230804,2.461608,1.0,160,32,32,160,32,32,0,0,0,5,0,10,0,0,0,0,6.0,6.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,3.0,3.162278,1013147.115707,1019798.04039,4062386.035919,1015596.50898,2898.665157,1013138.055801,1019813.06076,4062401.05629,1015600.264072,2907.66929,109.910965,1019679.069519,4062520.027161,451391.114129,535144.460159,7.384823,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4062520.027161,4062520.027161,4062520.027161,4062520.027161,0.0,0.0,0.0,0.0,0.0,0.0,1825,509,1825,509,normal,0
3060895,10.10.10.252,46352,10.10.10.249,80,tcp,http,0.021994,395,0,S0,T,T,0,ScAD,4,611,0,0,-,0.022276,4,3,1,1,179.566059,134.674544,314.240603,0.75,136,32,40,104,32,40,0,2,0,1,1,6,0,0,0,0,0.0,439.0,439.0,109.75,219.5,0.0,309.0,309.0,103.0,178.401233,0.0,439.0,748.0,106.857143,186.31195,936.031342,19912.004471,22275.924683,7425.308228,10816.592267,419.855118,20836.114883,21255.970001,10627.985001,14436.475727,42.915344,19912.004471,22275.924683,3712.654114,7945.743565,33578.852984,4.0,3.0,439.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,22275.924683,22275.924683,22275.924683,22275.924683,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,500,506,rudeadyet,1
964462,247.133.72.12,9521,95.110.15.36,55506,tcp,-,-,-,-,OTH,T,F,0,-,0,0,0,0,-,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,camoverflow,1
